level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh,mean_adj,dz_adj,p_perm_adj,p_fwer_adj,covariates_used
head,spectral_radius,injected-control,2,18,38.0,-0.0034220311790704727,-0.004136800765991211,0.0091342031955719,-0.37463927268981934,12.0,26.0,0.03355243967962451,0.025298723950982094,0.029194161167766446,0.981003799240152,0.09114274706034403,-0.0032208739906170575,-0.39996121371775417,0.0591881623675265,0.9964007198560288,4.0
head,spectral_radius,injected-control,2,19,38.0,0.0006803023279644549,-0.0035471320152282715,0.014635460451245308,0.046483151614665985,11.0,27.0,0.013852965261321515,0.028441034257411957,0.7368526294741051,1.0,0.8330484013572562,-0.0028308655451557137,-0.3895369596793189,0.01219756048790242,0.9982003599280144,4.0
head,spectral_radius,injected-control,2,20,38.0,-0.0017056433716788888,-0.002148926258087158,0.0060864281840622425,-0.2802371680736542,14.0,24.0,0.14330665429588407,0.15689536929130554,0.09358128374325135,1.0,0.20388773309167954,-0.001364378659894344,-0.26015511264928176,0.15456908618276344,1.0,4.0
head,spectral_radius,injected-control,2,21,38.0,0.0006222662050276995,0.00020354986190795898,0.004133474547415972,0.15054313838481903,21.0,17.0,0.6271025701571489,0.6462371945381165,0.36172765446910615,1.0,0.5130320196348541,0.00021474393375586222,0.057426659913273434,0.7636472705458909,1.0,4.0
head,spectral_radius,injected-control,2,22,38.0,-0.0008975235978141427,-0.0010299086570739746,0.002601255662739277,-0.34503474831581116,13.0,25.0,0.07295138851623051,0.02431860752403736,0.041191761647670466,0.9956008798240352,0.11524689597599606,-0.0007086823666981033,-0.29882388934214305,0.07198560287942411,1.0,4.0
head,spectral_radius,injected-control,2,23,38.0,0.0003255009651184082,0.00016623735427856445,0.0030531086958944798,0.10661296546459198,19.0,19.0,1.0,0.6986183524131775,0.5114977004599081,1.0,0.6434565666719236,-0.0001020440201152373,-0.03420234657683968,0.8318336332733454,1.0,4.0
head,spectral_radius,injected-control,2,24,38.0,-0.0016591893509030342,-0.0008103847503662109,0.005417854990810156,-0.30624470114707947,15.0,23.0,0.2558750795433298,0.1017063781619072,0.0673865226954609,0.9998000399920016,0.16047395172128365,-0.0017548307799726721,-0.3580190510000052,0.05038992201559688,1.0,4.0
head,spectral_radius,injected-control,2,25,38.0,-0.0005849003791809082,-0.0012214183807373047,0.006704841274768114,-0.08723553270101547,15.0,23.0,0.2558750795433298,0.3805592954158783,0.5986802639472105,1.0,0.712618497182234,0.00039897884917369184,0.06408172142137582,0.7734453109378124,1.0,4.0
head,spectral_radius,injected-control,2,26,38.0,-0.002433767542243004,-0.0025269389152526855,0.007173291873186827,-0.33928182721138,11.0,27.0,0.013852965261321515,0.02735907956957817,0.03519296140771846,0.9974005198960207,0.10355630023420603,-0.0022912300962382526,-0.3434315385303846,0.07838432313537293,1.0,4.0
head,spectral_radius,injected-control,2,27,38.0,-0.002868614625185728,-0.001731574535369873,0.006283152848482132,-0.4565565586090088,12.0,26.0,0.03355243967962451,0.010465310886502266,0.00639872025594881,0.7150569886022795,0.02899243160217514,-0.0018089457723797899,-0.354481194056037,0.07538492301539693,1.0,4.0
head,spectral_radius,injected-control,2,28,38.0,-0.004473187495023012,-0.00457918643951416,0.005840178579092026,-0.7659333348274231,9.0,29.0,0.0016580525261815637,2.865628630388528e-05,0.0001999600079984003,0.008798240351929614,0.0030111624733876754,-0.0044304212311663165,-0.9019274211835441,0.0001999600079984003,0.017996400719856028,4.0
head,spectral_radius,injected-control,2,29,38.0,-0.0027862410061061382,-0.0016916990280151367,0.0060238586738705635,-0.46253424882888794,12.0,26.0,0.03355243967962451,0.01000581867992878,0.00639872025594881,0.6850629874025195,0.02899243160217514,-0.003159258966522002,-0.6986132232243011,0.0001999600079984003,0.21875624875024996,4.0
head,spectral_radius,injected-control,2,30,38.0,-0.003052523359656334,-0.003440380096435547,0.004186464939266443,-0.7291410565376282,10.0,28.0,0.0050976432976312935,0.0001512508315499872,0.0001999600079984003,0.013797240551889621,0.0030111624733876754,-0.002899475468957487,-0.7924259414569781,0.0005998800239952009,0.07378524295140972,4.0
head,spectral_radius,injected-control,2,31,38.0,-0.0016374525148421526,-0.0010772943496704102,0.0076646688394248486,-0.21363642811775208,15.0,23.0,0.2558750795433298,0.1484690010547638,0.20095980803839233,1.0,0.3452732272337479,-0.0019559651199640353,-0.26104283328715366,0.2565486902619476,1.0,4.0
head,spectral_radius,injected-control,3,0,38.0,-0.0021457828115671873,-0.0012978315353393555,0.0150167066603899,-0.14289303123950958,15.0,23.0,0.2558750795433298,0.1795005053281784,0.3877224555088982,1.0,0.5322088397333938,-0.0037263507151632574,-0.3417056218022232,0.05598880223955209,1.0,4.0
head,spectral_radius,injected-control,3,1,38.0,-0.0036024702712893486,-0.002914130687713623,0.011157488450407982,-0.32287466526031494,11.0,27.0,0.013852965261321515,0.02071244642138481,0.05418916216756649,0.9994001199760048,0.13735074767224772,-0.005995895552374956,-0.6041830547120424,0.006998600279944011,0.5256948610277944,4.0
head,spectral_radius,injected-control,3,2,38.0,-0.005878715310245752,-0.00549393892288208,0.013329006731510162,-0.4410467743873596,7.0,31.0,0.00011616700794547796,0.0017339391633868217,0.009798040391921616,0.7918416316736653,0.0388883463617354,-0.0065841007993753895,-0.6304546296541604,0.0015996800639872025,0.4251149770045991,4.0
