level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,salience_readout,injected-control,14,6,39.0,0.004347024019807577,0.006124366074800491,0.02126561477780342,0.20441563427448273,27.0,12.0,0.023702702470473014,0.0901387482881546,0.21255748850229955,1.0,0.26479181049434886
head,salience_readout,injected-control,14,7,39.0,0.0028307910542935133,0.0020772824063897133,0.003689717035740614,0.7672109007835388,32.0,7.0,7.025478407740593e-05,3.506975554046221e-05,0.0001999600079984003,0.002999400119976005,0.0005534028329469241
head,salience_readout,injected-control,14,8,39.0,0.012528561055660248,0.010391846299171448,0.01604960300028324,0.7806150317192078,32.0,7.0,7.025478407740593e-05,1.0535477485973388e-05,0.0001999600079984003,0.001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,14,9,39.0,0.0032699399162083864,0.0007069502025842667,0.01903926581144333,0.17174716293811798,21.0,18.0,0.7492586247608418,0.4026879072189331,0.2969406118776245,1.0,0.3527461561052059
head,salience_readout,injected-control,14,10,39.0,0.006431848742067814,0.0058347322046756744,0.009992382489144802,0.6436752080917358,28.0,11.0,0.009475304279476404,0.000283623521681875,0.0007998400319936012,0.026394721055788842,0.0018282057874139457
head,salience_readout,injected-control,14,11,39.0,0.02484317682683468,0.021091651171445847,0.03318870812654495,0.7485430240631104,31.0,8.0,0.0002940768754342571,3.24848442687653e-05,0.0001999600079984003,0.003799240151969606,0.0005534028329469241
head,salience_readout,injected-control,14,12,39.0,-0.007222509477287531,-0.007954990491271019,0.027434205636382103,-0.26326659321784973,13.0,26.0,0.05325191409792752,0.059990860521793365,0.10377924415116976,1.0,0.13909678797224848
head,salience_readout,injected-control,14,13,39.0,0.007795698940753937,0.006596991792321205,0.01054353453218937,0.7393819093704224,30.0,9.0,0.0010650196345523,5.49646356375888e-05,0.0001999600079984003,0.004599080183963208,0.0005534028329469241
head,salience_readout,injected-control,14,14,39.0,0.008148359134793282,0.009092260152101517,0.030125562101602554,0.2704799175262451,27.0,12.0,0.023702702470473014,0.09568343311548233,0.09738052389522095,1.0,0.1314768625222324
head,salience_readout,injected-control,14,15,39.0,0.005407421849668026,0.005797788500785828,0.028453489765524864,0.19004423916339874,22.0,17.0,0.5223973804968411,0.45117419958114624,0.2403519296140772,1.0,0.29300044752954174
head,salience_readout,injected-control,14,16,39.0,0.039255816489458084,0.03645165264606476,0.035763900727033615,1.0976380109786987,36.0,3.0,3.608874976634979e-08,3.621244104579091e-08,0.0001999600079984003,0.0001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,14,17,39.0,0.0637284442782402,0.05002138763666153,0.04610972851514816,1.3821040391921997,37.0,2.0,2.841261448338628e-09,5.093170329928398e-11,0.0001999600079984003,0.0001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,14,18,39.0,0.03469569981098175,0.020407043397426605,0.038693107664585114,0.8966894149780273,35.0,4.0,3.353161446284503e-07,2.087472239509225e-08,0.0001999600079984003,0.0007998400319936012,0.0005534028329469241
