layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
5,249,0.49833959341049194,0.3316466510295868,0.99848473072052,0.529864490032196,1.502622127532959,249,0,0.0039022215580315715,nan,nan,nan,nan,nan,nan,nan,0.9152809216147277,0.12586568445379573,nan,nan,81.97221448432668,0,indirect_injection,start,train,432,158,benign,0,249
5,283,0.49638885259628296,0.3317594826221466,0.9986226558685303,0.5290370583534241,1.4962310791015625,249,34,0.003732136503602216,0.007560259211796407,0.002072183193481864,35.08620583203492,1.3481361612918843,1.4896070953566103,0.043869445262560966,2.5634152041243436,0.8994647061240902,0.12390056634031643,0.5265017667844523,-0.008628083129519015,92.19501005444762,0,indirect_injection,start,train,432,158,injected,1,283
6,249,0.4377896189689636,0.30570119619369507,0.9981619715690613,0.5361586213111877,1.4320833683013916,249,0,0.003766908647393619,nan,nan,nan,nan,nan,nan,nan,0.7792983699011506,0.1717150721327247,nan,nan,73.54031171184965,0,indirect_injection,start,train,432,158,benign,0,249
6,283,0.4257184863090515,0.29863107204437256,0.9983229637145996,0.5350633263587952,1.4255666732788086,249,34,0.0035809572966408318,0.008985698769420406,0.001976945938942404,33.47364863817279,1.2481421866362186,1.3888657588029076,0.055647670508735494,2.869331363106675,0.7385682381987657,0.17811994758983948,0.5229681978798587,-0.010451966209319402,81.97705350280233,0,indirect_injection,start,train,432,158,injected,1,283
7,249,0.43867218494415283,0.30829083919525146,0.998557448387146,0.5270967483520508,1.4229166507720947,249,0,0.003880291901454402,nan,nan,nan,nan,nan,nan,nan,0.7549049783127494,0.18046727139116342,nan,nan,74.5876572309876,0,indirect_injection,start,train,432,158,benign,0,249
7,283,0.4215289354324341,0.2983644902706146,0.9986826777458191,0.5265021920204163,1.4127986431121826,249,34,0.003607190063496992,0.008833940463275906,0.0023477118852367382,39.75145764082845,1.334505336780149,1.4983431172888677,0.048856077010166796,2.4044566324869154,0.6938330183503464,0.19039988160246377,0.5265017667844523,-0.013461625162830837,81.5699681874213,0,indirect_injection,start,train,432,158,injected,1,283
8,249,0.41096413135528564,0.28710582852363586,0.9981774091720581,0.5368303656578064,1.4314029216766357,249,0,0.003772327626438016,nan,nan,nan,nan,nan,nan,nan,0.8191364002190515,0.1644266985178972,nan,nan,76.96454264427254,0,indirect_injection,start,train,432,158,benign,0,249
8,283,0.38791900873184204,0.2725474536418915,0.9983373284339905,0.535827100276947,1.4233081340789795,249,34,0.0035297686634809455,0.007676446384922232,0.002261617598703097,38.29370918124084,1.3794649578276894,1.540961975470101,0.043066541498989606,2.301622302442704,0.7446823877145504,0.18008138344839453,0.5335689045936396,-0.0030600126557493775,84.21615159062276,0,indirect_injection,start,train,432,158,injected,1,283
9,249,0.44501984119415283,0.30491095781326294,0.9980892539024353,0.5389593839645386,1.4595075845718384,249,0,0.0036940660312196065,nan,nan,nan,nan,nan,nan,nan,0.8770750594713097,0.1466737553592446,nan,nan,79.30609602307311,0,indirect_injection,start,train,432,158,benign,0,249
9,283,0.4338139295578003,0.2995946407318115,0.9982109665870667,0.5387604236602783,1.4480029344558716,249,34,0.0035489687525686736,0.0073644486638806995,0.001894646548614645,32.08015536114317,1.3200086315981174,1.4564061719243462,0.0461416165243717,2.6983172159470303,0.8311342252973696,0.15145272729269152,0.5371024734982333,-0.0012413601141739276,87.578086388146,0,indirect_injection,start,train,432,158,injected,1,283
10,249,0.5684848427772522,0.35728660225868225,0.9985442757606506,0.5306288003921509,1.5911171436309814,249,0,0.003763323157227505,nan,nan,nan,nan,nan,nan,nan,1.135717654641284,0.06752398085109168,nan,nan,93.2686242644143,0,indirect_injection,start,train,432,158,benign,0,249
10,283,0.5610558986663818,0.35492178797721863,0.9986931085586548,0.5297168493270874,1.5807874202728271,249,34,0.0036587370929623167,0.005048015692190673,0.0019421150600946718,32.88389219752298,1.4875671943298703,1.6232400923733514,0.028858174435937495,2.2128449961432493,1.105656496952066,0.06797846164977464,0.5371024734982333,0.00020567451160680977,104.43599124705881,0,indirect_injection,start,train,432,158,injected,1,283
