layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
5,237,0.6400777697563171,0.3827677369117737,0.9982314109802246,0.539435088634491,1.672235369682312,237,0,0.0040238596621023455,nan,nan,nan,nan,nan,nan,nan,1.3239216017238047,0.03412341983064021,nan,nan,95.6676727523618,0,indirect_injection,start,train,432,158,benign,0,237
5,271,0.6400159001350403,0.38302385807037354,0.9984204173088074,0.5378500819206238,1.6709556579589844,237,34,0.0039832212133972065,0.004197646790142993,0.0018583095414633764,29.948516570223774,1.5214635850818754,1.647422701580694,0.02489633512097814,2.20040236171972,1.3391808894558122,0.03934175139185135,0.5092250922509225,-0.019974317796826232,108.98527863041141,0,indirect_injection,start,train,432,158,injected,1,271
6,237,0.5311194062232971,0.34904444217681885,0.9979919791221619,0.5423532128334045,1.5216383934020996,237,0,0.004026915278811528,nan,nan,nan,nan,nan,nan,nan,1.0340049617097655,0.0941013730647325,nan,nan,83.13915322776114,0,indirect_injection,start,train,432,158,benign,0,237
6,271,0.5283183455467224,0.3480893075466156,0.9981740713119507,0.5411744117736816,1.5177665948867798,237,34,0.003897451315826354,0.006922016643013564,0.0019942025422859315,32.138568171480074,1.3483325931783527,1.4856407959523776,0.043145191180845574,2.604578213539225,1.0112450847822112,0.08220041243017179,0.5498154981549815,-0.002154507752305762,94.13545870029807,0,indirect_injection,start,train,432,158,injected,1,271
7,237,0.528448760509491,0.33955174684524536,0.9983903765678406,0.5332692861557007,1.556312918663025,237,0,0.004080236500885476,nan,nan,nan,nan,nan,nan,nan,0.9936181809601422,0.10936707899425041,nan,nan,83.01188870479986,0,indirect_injection,start,train,432,158,benign,0,237
7,271,0.5236846208572388,0.3377840518951416,0.9985326528549194,0.5329129099845886,1.5503532886505127,237,34,0.0039151918131760935,0.006791588935400102,0.002145222302460892,34.572402626459734,1.388095126586403,1.5344205117963776,0.040164646900548585,2.403753417033433,0.9616542382890375,0.10182748851898013,0.5461254612546126,-0.00044033334464478493,93.5183590864505,0,indirect_injection,start,train,432,158,injected,1,271
8,237,0.5552898049354553,0.3567579388618469,0.9984685182571411,0.5321336388587952,1.5564889907836914,237,0,0.004053934723028947,nan,nan,nan,nan,nan,nan,nan,1.0893256620514489,0.05678483461503386,nan,nan,86.51382888991444,0,indirect_injection,start,train,432,158,benign,0,237
8,271,0.5380526185035706,0.3474234640598297,0.9986223578453064,0.5313234329223633,1.5486938953399658,237,34,0.0038656293619351717,0.006742800263721274,0.0022174213698284337,35.735962796155036,1.4050798622229117,1.5577452219225916,0.03909499778157669,2.3024066164525196,1.0274964263989241,0.06019056558222485,0.5055350553505535,-0.03278434783351631,97.36741394167717,0,indirect_injection,start,train,432,158,injected,1,271
9,237,0.5211400985717773,0.342538982629776,0.9977558255195618,0.5438258051872253,1.5214037895202637,237,0,0.003962345164899996,nan,nan,nan,nan,nan,nan,nan,0.954611697649736,0.12102971122820803,nan,nan,79.16252118715228,0,indirect_injection,start,train,432,158,benign,0,237
9,271,0.5074248313903809,0.3350074291229248,0.9978803992271423,0.5436593294143677,1.5146673917770386,237,34,0.0038366767580778212,0.008772122058800567,0.0018004987895516096,29.01683849241374,1.1916203884826635,1.3182753783402037,0.05920480129466574,3.2220858291244476,0.9157547645294152,0.12004163661539263,0.5682656826568265,0.011544500408113839,89.28367094879891,0,indirect_injection,start,train,432,158,injected,1,271
10,237,0.5123847126960754,0.3430912494659424,0.9984093308448792,0.5330986380577087,1.4934356212615967,237,0,0.003951415622971448,nan,nan,nan,nan,nan,nan,nan,0.9049182363594308,0.09434640654403115,nan,nan,79.00301200843793,0,indirect_injection,start,train,432,158,benign,0,237
10,271,0.5009231567382812,0.3365888297557831,0.9985575079917908,0.532245397567749,1.4882346391677856,237,34,0.0037314941578184993,0.0072867183232432605,0.0022281160205915437,35.90831778785332,1.3742255837988886,1.5326464336450734,0.04331436694305657,2.340289437628361,0.8795452476359331,0.09855315285077915,0.5276752767527675,-0.04334222230731187,89.4381991347503,0,indirect_injection,start,train,432,158,injected,1,271
11,237,0.41793447732925415,0.28848350048065186,0.998184323310852,0.5350499153137207,1.448729157447815,237,0,0.003819122762492583,nan,nan,nan,nan,nan,nan,nan,0.6803076413650405,0.18453914672653957,nan,nan,67.38168919400324,0,indirect_injection,start,train,432,158,benign,0,237
11,271,0.4037046432495117,0.28053048253059387,0.9983389973640442,0.5343416929244995,1.4390758275985718,237,34,0.003554998621961875,0.009302845653513804,0.0021848401786045816,35.210884318391436,1.2555928137549714,1.418272053233274,0.05907201597457139,2.6321337407945617,0.656484681353193,0.19690236700232075,0.5092250922509225,-0.018454348273528445,74.93605573476832,0,indirect_injection,start,train,432,158,injected,1,271
12,237,0.4149409532546997,0.28510546684265137,0.9984810948371887,0.5278375148773193,1.4553946256637573,237,0,0.003839109436542799,nan,nan,nan,nan,nan,nan,nan,0.6491922741140287,0.21086724275425828,nan,nan,67.03339631825766,0,indirect_injection,start,train,432,158,benign,0,237
12,271,0.3925541043281555,0.2725042998790741,0.9986327886581421,0.5270000696182251,1.4405428171157837,237,34,0.0034266551733215817,0.010698812647833475,0.002603831297331906,41.963345187800996,1.2721662360253259,1.4695095337306272,0.06167355936519382,2.325359745377258,0.5740646603811779,0.23124008333155874,0.5202952029520295,-0.01297138244995639,74.3481951932494,0,indirect_injection,start,train,432,158,injected,1,271
13,237,0.46916359663009644,0.32093891501426697,0.9975515604019165,0.5520734190940857,1.4618470668792725,237,0,0.0040121654222035515,nan,nan,nan,nan,nan,nan,nan,0.8616939366877718,0.14176897434751426,nan,nan,74.60938879271916,0,indirect_injection,start,train,432,158,benign,0,237
13,271,0.4497354030609131,0.308866411447525,0.997736394405365,0.550973117351532,1.45608389377594,237,34,0.0037998169010046916,0.00873240831689711,0.0021391450540584117,34.47446169120536,1.2751792360489562,1.4252191598188921,0.05413984971387093,2.692824918980996,0.8075292184190349,0.15157590709263602,0.5276752767527675,-0.009100897232820149,84.08113947516911,0,indirect_injection,start,train,432,158,injected,1,271
14,237,0.3300374746322632,0.24100933969020844,0.9965841174125671,0.5576169490814209,1.3693970441818237,237,0,0.0037343657290693755,nan,nan,nan,nan,nan,nan,nan,0.6257425874121191,0.20810654327308462,nan,nan,59.495620737336715,0,indirect_injection,start,train,432,158,benign,0,237
14,271,0.3173825144767761,0.23306046426296234,0.9968051910400391,0.556544840335846,1.3618032932281494,237,34,0.0035257448424514115,0.0123491411441769,0.0017433971367171728,28.096588255333955,1.0069007150762543,1.1399021559556122,0.08864529796454604,3.784839682499741,0.5694610564767018,0.23588547638918478,0.5313653136531366,-0.009401938990657699,66.38941224618046,0,indirect_injection,start,train,432,158,injected,1,271
15,237,0.3950924575328827,0.27440008521080017,0.9974743127822876,0.5460056662559509,1.4398409128189087,237,0,0.0037862486865331605,nan,nan,nan,nan,nan,nan,nan,0.7568707802570003,0.17656129099540446,nan,nan,68.12950333887537,0,indirect_injection,start,train,432,158,benign,0,237
15,271,0.38923346996307373,0.2716203033924103,0.9976407885551453,0.5455031991004944,1.4330058097839355,237,34,0.003658688917059506,0.009093579728775343,0.001713728835392191,27.618453911180552,1.150183114580337,1.276614019815849,0.06454626303660795,3.3657982289147106,0.7342355425523174,0.17932354103995204,0.5239852398523985,-0.006705450791430629,76.60985265167159,0,indirect_injection,start,train,432,158,injected,1,271
16,237,0.2945491075515747,0.21123406291007996,0.9966277480125427,0.5531090497970581,1.3944205045700073,237,0,0.0038574787914310016,nan,nan,nan,nan,nan,nan,nan,0.5409888289445214,0.2625413032050229,nan,nan,54.34595908022802,0,indirect_injection,start,train,432,158,benign,0,237
16,271,0.28145667910575867,0.2034703940153122,0.9968315958976746,0.5525421500205994,1.3832807540893555,237,34,0.003641730268328953,0.013452871183268897,0.0017383752935473868,28.015656230809686,0.9626728323089322,1.0913638350781116,0.09451000852895367,4.026408541956495,0.479455779708685,0.2781108949487795,0.5350553505535055,-0.0014808435219986246,58.882941959549214,0,indirect_injection,start,train,432,158,injected,1,271
17,237,0.47260332107543945,0.31620341539382935,0.998203694820404,0.5367701649665833,1.4946180582046509,237,0,0.0038964618411537442,nan,nan,nan,nan,nan,nan,nan,0.7690710890823239,0.1651436152931254,nan,nan,73.3284829707959,0,indirect_injection,start,train,432,158,benign,0,237
17,271,0.4596852660179138,0.3107075095176697,0.9983986616134644,0.5351129770278931,1.4794790744781494,237,34,0.0035960739521462824,0.008159143875549968,0.0024301018128425715,39.16352081577088,1.362857910788001,1.540295332439764,0.046856161950386624,2.2290105982910546,0.7081213237345552,0.17669182552032728,0.5018450184501845,-0.0203077517026114,80.98761888752627,0,indirect_injection,start,train,432,158,injected,1,271
18,237,0.32301995158195496,0.23434531688690186,0.9968466758728027,0.5528194904327393,1.3783930540084839,237,0,0.003900973672143586,nan,nan,nan,nan,nan,nan,nan,0.519640541326222,0.270800188567864,nan,nan,54.09101578616852,0,indirect_injection,start,train,432,158,benign,0,237
18,271,0.30939429998397827,0.22583232820034027,0.9970519542694092,0.5520957112312317,1.3700177669525146,237,34,0.0036712841722210095,0.012836279707056853,0.00186064679075841,29.986183679862535,1.0200979083603727,1.1561912886067078,0.08763215205962413,3.6894756528164665,0.4748944004312254,0.2803029063832052,0.5461254612546126,0.0028709250127451963,59.16324665997046,0,indirect_injection,start,train,432,158,injected,1,271
19,237,0.33620685338974,0.24337312579154968,0.9976077079772949,0.5443083643913269,1.381446123123169,237,0,0.003895593476503005,nan,nan,nan,nan,nan,nan,nan,0.5813649068344473,0.2442909986894358,nan,nan,61.09356956855629,0,indirect_injection,start,train,432,158,benign,0,237
19,271,0.3240499496459961,0.23725095391273499,0.9977607131004333,0.5440488457679749,1.3658530712127686,237,34,0.003575939658998842,0.011366672685519053,0.002263250710066688,36.47454844343474,1.1769521448403102,1.344077435734998,0.07141755396277355,2.8169497682894002,0.5167831112454355,0.25710648605826636,0.5018450184501845,-0.013375962372510682,66.08701672523107,0,indirect_injection,start,train,432,158,injected,1,271
20,237,0.5172364115715027,0.33269426226615906,0.9982884526252747,0.5340799689292908,1.554689884185791,237,0,0.003906946228290268,nan,nan,nan,nan,nan,nan,nan,0.9319305008944633,0.12271123807756068,nan,nan,80.53018287066443,0,indirect_injection,start,train,432,158,benign,0,237
20,271,0.5004597306251526,0.3247635066509247,0.9984858632087708,0.5318231582641602,1.5409975051879883,237,34,0.00370488076864162,0.00581410585024536,0.0022508538726140614,36.27476101104821,1.4709478329167676,1.6319123285265897,0.03272540189348109,2.0619649747283817,0.9004178789245169,0.126567971742833,0.5239852398523985,-0.004111991879363481,89.78617950604853,0,indirect_injection,start,train,432,158,injected,1,271
21,237,0.345958948135376,0.22903358936309814,0.9979604482650757,0.537231981754303,1.5105161666870117,237,0,0.003934769755301364,nan,nan,nan,nan,nan,nan,nan,0.603045123136571,0.23887109419503477,nan,nan,66.00542479381038,0,indirect_injection,start,train,432,158,benign,0,237
21,271,0.31441420316696167,0.2107645720243454,0.998067319393158,0.5372970700263977,1.4917792081832886,237,34,0.0034800786229023523,0.010922798179661724,0.0027692167734962954,44.6286975216663,1.2909762295671492,1.4966743502360755,0.05966820879544238,2.2264068472789225,0.5063523794962401,0.2722593440491595,0.5018450184501845,-0.002540154182388735,70.69655470120728,0,indirect_injection,start,train,432,158,injected,1,271
22,237,0.35761260986328125,0.24705220758914948,0.9978905320167542,0.5392651557922363,1.4475183486938477,237,0,0.003927403510973699,nan,nan,nan,nan,nan,nan,nan,0.6230605509678646,0.22971926219557784,nan,nan,65.2253853206272,0,indirect_injection,start,train,432,158,benign,0,237
22,271,0.3348543047904968,0.23462416231632233,0.998031497001648,0.5385214686393738,1.4271944761276245,237,34,0.003565998796629391,0.00983032889081526,0.0025276230362334564,40.73517285193839,1.2974135533733524,1.4827241792246078,0.05656922021220089,2.3424067746703137,0.5728982587304212,0.24834899089569126,0.5055350553505535,-0.001879996677999418,70.2154632203682,0,indirect_injection,start,train,432,158,injected,1,271
23,237,0.3027381896972656,0.21989184617996216,0.9969732165336609,0.5519865155220032,1.3767595291137695,237,0,0.0038201540147765364,nan,nan,nan,nan,nan,nan,nan,0.5241948980340578,0.26484400447080547,nan,nan,54.17041700531318,0,indirect_injection,start,train,432,158,benign,0,237
23,271,0.2853166460990906,0.20943042635917664,0.9971153736114502,0.551410973072052,1.3623456954956055,237,34,0.0035586398494980697,0.013074220651653827,0.00190687454761581,30.731190209376393,1.0231837034042113,1.1665145053987576,0.08982782914883067,3.5770729898571707,0.4728518473547263,0.27974546765520925,0.5276752767527675,-0.0033445736084653983,58.07591558356645,0,indirect_injection,start,train,432,158,injected,1,271
24,237,0.24189883470535278,0.18009747564792633,0.9958307147026062,0.5617421865463257,1.343155026435852,237,0,0.0037701275527610096,nan,nan,nan,nan,nan,nan,nan,0.4278439799652749,0.30718326207453794,nan,nan,47.38732894679955,0,indirect_injection,start,train,432,158,benign,0,237
24,271,0.2334023118019104,0.17526693642139435,0.9959223866462708,0.5621808767318726,1.3316961526870728,237,34,0.0036185668397884165,0.014560641091306666,0.0013456678932156024,21.68678376706265,0.7978822564321667,0.899584945961597,0.11034265003287579,5.3941206673744,0.4370048812674225,0.304332574845904,0.5092250922509225,-0.0019064361939439866,51.51973247173345,0,indirect_injection,start,train,432,158,injected,1,271
25,237,0.45348215103149414,0.2853195369243622,0.9980279803276062,0.5376927256584167,1.5893834829330444,237,0,0.003922610585269294,nan,nan,nan,nan,nan,nan,nan,1.335233582615129,0.05223006699690084,nan,nan,85.86093494692666,0,indirect_injection,start,train,432,158,benign,0,237
25,271,0.45241618156433105,0.28594082593917847,0.9982087016105652,0.5365027785301208,1.5822021961212158,237,34,0.0038113601862248135,0.005703523038242572,0.0019496750178834507,31.42096258820969,1.4211306328654263,1.5584075284558212,0.035472437804023135,2.391384277902022,1.3364102180971886,0.050989913604669174,0.5719557195571956,-0.05343007632250352,96.7289795168754,0,indirect_injection,start,train,432,158,injected,1,271
26,237,0.3766675293445587,0.25944656133651733,0.9974315762519836,0.5458256602287292,1.4518115520477295,237,0,0.0037750304292645657,nan,nan,nan,nan,nan,nan,nan,0.6995720090424264,0.20195667813831392,nan,nan,65.5160232149979,0,indirect_injection,start,train,432,158,benign,0,237
26,271,0.3703915774822235,0.2577049434185028,0.9976071119308472,0.5453044176101685,1.4372700452804565,237,34,0.0035856064911279468,0.009906416385732973,0.0018364245786785405,29.59581850998336,1.1421264648373053,1.2795589528562648,0.0690687271973088,3.2453870966184963,0.696749207353214,0.20472858655882623,0.5202952029520295,1.4494206544897048e-05,72.7708232972621,0,indirect_injection,start,train,432,158,injected,1,271
27,237,0.3154616951942444,0.21768054366111755,0.9975025653839111,0.5444875955581665,1.4491956233978271,237,0,0.0037289039799740862,nan,nan,nan,nan,nan,nan,nan,0.5868254068595068,0.24013692926144553,nan,nan,61.74732151977995,0,indirect_injection,start,train,432,158,benign,0,237
27,271,0.3190491795539856,0.22211822867393494,0.9976606369018555,0.5443459749221802,1.4363934993743896,237,34,0.0034581430463886424,0.010020474691413768,0.002098570849446617,33.82056780968168,1.2013021583965595,1.3620989271726511,0.06641491260669237,2.8050589250347597,0.638020473549454,0.2255667416474093,0.5055350553505535,-0.0015130341165438504,70.25363153465116,0,indirect_injection,start,train,432,158,injected,1,271
28,237,0.34647154808044434,0.24341481924057007,0.9960026741027832,0.568030834197998,1.4233790636062622,237,0,0.003700938531032577,nan,nan,nan,nan,nan,nan,nan,0.6308247420983399,0.22432823668345855,nan,nan,61.93854098445133,0,indirect_injection,start,train,432,158,benign,0,237
28,271,0.3426706790924072,0.2426115870475769,0.9962007999420166,0.5673437118530273,1.4124250411987305,237,34,0.003536400539784704,0.011816228024461082,0.0016014090158782428,25.80830769989376,0.9864821301382848,1.108969312833483,0.08754542842191684,4.036620174826169,0.64043638739544,0.2229129850528775,0.5092250922509225,-0.0016616983891492166,69.02812634581878,0,indirect_injection,start,train,432,158,injected,1,271
29,237,0.4375230669975281,0.2855966091156006,0.9974599480628967,0.5483137965202332,1.5319616794586182,237,0,0.00384323903531952,nan,nan,nan,nan,nan,nan,nan,0.8473458947918782,0.14232279124939623,nan,nan,75.07587517275542,0,indirect_injection,start,train,432,158,benign,0,237
29,271,0.41634905338287354,0.2746824324131012,0.997567355632782,0.5486987829208374,1.5157469511032104,237,34,0.003685596618982266,0.00912711474922289,0.0018013592175732086,29.03070515040983,1.172674668263281,1.3042388371599312,0.06310461138937215,3.219736489997298,0.8053285575098924,0.16589487740313957,0.5498154981549815,0.007701035352865109,82.7424959688432,0,indirect_injection,start,train,432,158,injected,1,271
30,237,0.4998796582221985,0.3298305571079254,0.9977036714553833,0.546156108379364,1.515565037727356,237,0,0.003839084377627066,nan,nan,nan,nan,nan,nan,nan,0.9693032719952062,0.1095525336450009,nan,nan,80.10091166485475,0,indirect_injection,start,train,432,158,benign,0,237
30,271,0.48376113176345825,0.3218642473220825,0.9978793263435364,0.5450472831726074,1.5029973983764648,237,34,0.0037100452963993464,0.00814340556458521,0.0018000740153685738,29.009992831679938,1.2270585675965988,1.3577252350453333,0.05586337702606407,3.053530592545307,0.916672028876867,0.12588043954418762,0.5535055350553506,0.00813895236156884,89.52921036877916,0,indirect_injection,start,train,432,158,injected,1,271
