layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
16,249,0.3433549702167511,0.2390660047531128,0.9969878196716309,0.5514007806777954,1.4362350702285767,249,0,0.003681333343825112,nan,nan,nan,nan,nan,nan,nan,0.7080367287698112,0.17979753669926904,nan,nan,63.805609751585074,1,Information Retrieval,middle,train,363,25,benign,0,249
16,255,0.33722925186157227,0.23465880751609802,0.9969974756240845,0.5516486763954163,1.43710458278656,250,5,0.0036365912827386574,0.02864132933318615,0.002247721363286314,5.619303408215785,1.6612977010220225,1.685816073150217,0.004503007593667979,4.540475732971373,0.8471054921683049,0.16595277194182878,0.6431372549019608,0.0268443779933425,65.30420886330543,1,Information Retrieval,middle,train,363,25,injected,1,255
17,249,0.4850890040397644,0.3177982270717621,0.9983417987823486,0.5346136689186096,1.526405692100525,249,0,0.0037222835239206836,nan,nan,nan,nan,nan,nan,nan,0.8473304263248683,0.14913219224134383,nan,nan,81.44508041333026,1,Information Retrieval,middle,train,363,25,benign,0,249
17,255,0.4871891140937805,0.31923148036003113,0.9983908534049988,0.5341716408729553,1.5261311531066895,250,5,0.0036794632841957832,0.014627843489870429,0.0023346026793678904,5.836506698419726,1.8177675727668126,1.8429287421414904,0.0021151871920161228,3.142457477461742,0.825548809798806,0.14593218768594748,0.5215686274509804,-0.0047314128066899995,82.4678259367826,1,Information Retrieval,middle,train,363,25,injected,1,255
18,249,0.3476048409938812,0.24840222299098969,0.99703449010849,0.5521939992904663,1.3993628025054932,249,0,0.003727697826593073,nan,nan,nan,nan,nan,nan,nan,0.6009933126118067,0.2329146155875599,nan,nan,59.795762105261126,1,Information Retrieval,middle,train,363,25,benign,0,249
18,255,0.34841781854629517,0.24875757098197937,0.9970487356185913,0.5522673726081848,1.4006320238113403,250,5,0.0036783625767628373,0.03970198780298233,0.0022783020818274396,5.695755204568599,1.5639441107907441,1.5885132121081982,0.006265918373111152,5.304226812636733,0.6143007032953367,0.23253829834839074,0.5176470588235295,0.0009290473283252644,60.415519989361485,1,Information Retrieval,middle,train,363,25,injected,1,255
19,249,0.3919183313846588,0.27989184856414795,0.9976232647895813,0.5455902814865112,1.4002491235733032,249,0,0.0037014985210650437,nan,nan,nan,nan,nan,nan,nan,0.7094428362737671,0.17036600817896846,nan,nan,69.88024551026767,1,Information Retrieval,middle,train,363,25,benign,0,249
19,255,0.39082473516464233,0.279619961977005,0.9976492524147034,0.5454015135765076,1.3976997137069702,250,5,0.003645700748862999,0.025503094075247645,0.002606043964513174,6.515109911282934,1.72923898392424,1.7575406400287856,0.003841448979221095,3.700029674123899,0.6691296775887959,0.17022993558895314,0.6313725490196078,-0.016830523443210402,70.1009327806197,1,Information Retrieval,middle,train,363,25,injected,1,255
20,249,0.5256568193435669,0.3337094783782959,0.9984098076820374,0.5314466953277588,1.575192928314209,249,0,0.0037195228531229675,nan,nan,nan,nan,nan,nan,nan,1.0164010635938612,0.10275023693194647,nan,nan,87.62948799624272,1,Information Retrieval,middle,train,363,25,benign,0,249
20,255,0.5291781425476074,0.3365612328052521,0.9984318017959595,0.5312151908874512,1.5723086595535278,250,5,0.0036670808750922565,0.011707213567569852,0.0026581805201386487,6.645451300346622,1.8683425165849037,1.8970363596358346,0.00153383200153927,2.4649183817796665,1.0003092832037639,0.1035866852053773,0.5137254901960784,0.00032324143547008126,88.47551542133928,1,Information Retrieval,middle,train,363,25,injected,1,255
